date,open,high,low,close,volume
2022-01-01 00:00:00,46150.0,46491.8,46150.0,46369.3,67.4992008
2022-01-01 00:30:00,46369.3,46708.9,46369.2,46663.3,43.76645228
2022-01-01 01:00:00,46663.4,46932.2,46551.9,46795.3,187.87667473000002
2022-01-01 01:30:00,46801.3,46868.9,46735.3,46793.7,19.51011778
2022-01-01 02:00:00,46793.7,46894.4,46793.4,46831.2,60.140597310000004
2022-01-01 02:30:00,46831.3,46831.3,46750.0,46789.2,20.9677196
2022-01-01 03:00:00,46792.1,46890.7,46758.4,46805.5,91.08708396
2022-01-01 03:30:00,46805.5,46881.2,46805.4,46844.0,8.9496874
2022-01-01 04:00:00,46844.1,46877.6,46620.4,46685.1,98.49559637
2022-01-01 04:30:00,46680.0,46800.0,46648.7,46716.3,194.59040915
2022-01-01 05:00:00,46716.4,47433.0,46669.9,47383.3,52.65563106
2022-01-01 05:30:00,47383.4,47500.0,47159.5,47189.2,62.21016711
2022-01-01 06:00:00,47189.2,47321.3,47110.7,47135.3,16.45847438
2022-01-01 06:30:00,47126.2,47216.8,46950.0,46950.1,55.72473006
2022-01-01 07:00:00,46974.8,47001.2,46950.0,46985.0,22.18885373
2022-01-01 07:30:00,46985.0,47223.5,46973.2,47223.5,20.4074655
2022-01-01 08:00:00,47223.6,47297.5,47118.9,47297.5,5.72740301
2022-01-01 08:30:00,47297.4,47297.5,47104.5,47104.5,76.03723357
2022-01-01 09:00:00,47104.6,47190.1,47102.8,47102.9,3.95672799
2022-01-01 09:30:00,47103.9,47103.9,46956.7,47101.3,5.2451655
2022-01-01 10:00:00,47167.4,47250.0,46861.2,46903.5,103.60039947
2022-01-01 10:30:00,46868.7,47062.9,46714.4,46855.9,61.48008576
2022-01-01 11:00:00,46855.9,46984.0,46855.3,46960.1,21.20063739
2022-01-01 11:30:00,46960.0,46976.6,46752.0,46758.4,31.77813842
2022-01-01 12:00:00,46763.9,46984.0,46763.9,46955.2,10.90964672
2022-01-01 12:30:00,46956.4,47138.3,46956.4,47103.5,32.74465355
2022-01-01 13:00:00,47129.2,47186.7,47003.8,47024.5,13.33813803
2022-01-01 13:30:00,47024.4,47055.7,46952.9,47045.2,6.0592725000000005
2022-01-01 14:00:00,47045.2,47088.8,46982.7,47050.8,6.01085315
2022-01-01 14:30:00,47034.3,47034.3,46878.0,46929.9,110.12946065
2022-01-01 15:00:00,46918.9,46987.5,46877.4,46987.5,21.92797158
2022-01-01 15:30:00,46987.5,47499.9,46987.4,47233.9,125.36707232
2022-01-01 16:00:00,47234.0,47538.5,47223.2,47512.2,32.93286898
2022-01-01 16:30:00,47512.1,47512.1,47267.1,47282.9,6.0769866
2022-01-01 17:00:00,47289.6,47352.0,47256.3,47341.7,18.514107969999998
2022-01-01 17:30:00,47341.6,47922.6,47341.6,47757.6,52.26655762
2022-01-01 18:00:00,47795.0,47833.8,47665.0,47665.1,27.76394194
2022-01-01 18:30:00,47665.1,47665.1,47464.2,47575.9,88.97287509
2022-01-01 19:00:00,47575.8,47626.0,47368.4,47389.5,6.35853203
2022-01-01 19:30:00,47389.5,47419.8,47314.4,47336.7,8.31059129
2022-01-01 20:00:00,47336.7,47413.0,47298.9,47413.0,22.09060468
2022-01-01 20:30:00,47413.0,47537.6,47400.0,47413.3,26.73072437
2022-01-01 21:00:00,47409.9,47519.8,47375.7,47375.7,15.62805338
2022-01-01 21:30:00,47375.5,47502.7,47297.5,47307.6,16.75385208
2022-01-01 22:00:00,47307.7,47423.3,47265.7,47406.6,11.92819402
2022-01-01 22:30:00,47406.5,47492.6,47390.6,47474.1,4.23956294
2022-01-01 23:00:00,47474.0,47503.5,47322.1,47452.3,107.69143688
2022-01-01 23:30:00,47451.7,47798.7,47401.3,47738.3,29.38646028
2022-01-02 00:00:00,47736.5,47763.5,47431.4,47550.7,11.85188582
2022-01-02 00:30:00,47550.8,47692.2,47506.7,47648.1,21.80405742
2022-01-02 01:00:00,47644.9,47648.1,47440.5,47461.9,5.07542038
2022-01-02 01:30:00,47461.8,47497.5,47334.1,47388.4,3.07264735
2022-01-02 02:00:00,47388.3,47439.1,47341.0,47356.0,12.74761254
2022-01-02 02:30:00,47356.0,47421.9,47311.5,47379.2,8.96527764
