timestamp,open,high,low,close,volume,trades
1640995200,46150.0,46230.0,46150.0,46230.0,44.43028526,335
1640995260,46229.9,46248.8,46229.9,46248.8,0.01060477,6
1640995320,46258.6,46329.9,46258.6,46329.9,0.28693255,18
1640995380,46330.0,46330.0,46297.8,46307.9,0.16867311,8
1640995440,46307.9,46307.9,46307.9,46307.9,0.02370176,3
1640995500,46307.8,46405.3,46273.3,46405.3,16.69680835,105
1640995560,46400.9,46480.0,46400.9,46480.0,0.46849709,47
1640995620,46480.0,46491.8,46440.0,46440.1,0.55373677,24
1640995680,46440.0,46440.0,46375.9,46375.9,0.06735319,26
1640995740,46376.0,46377.5,46351.3,46351.3,0.03223002,5
1640995800,46351.3,46357.9,46351.3,46357.9,0.06531221,5
1640995860,46351.2,46351.2,46301.3,46301.3,0.04207347,7
1640995920,46301.3,46301.3,46257.9,46275.8,1.47110988,24
1640995980,46312.7,46339.9,46312.7,46339.9,0.01369453,6
1640996040,46339.9,46339.9,46339.9,46339.9,0.04829682,2
1640996100,46339.9,46339.9,46339.8,46339.9,0.12249416,5
1640996160,46339.8,46339.8,46301.0,46301.6,0.18242161,17
1640996220,46306.3,46306.3,46273.2,46273.3,1.04452803,9
1640996280,46273.3,46273.3,46257.7,46257.7,0.45481281,16
1640996340,46257.7,46275.6,46257.7,46275.6,0.2010673,8
1640996400,46268.6,46309.3,46268.6,46309.3,0.04351066,7
1640996460,46309.3,46363.3,46309.3,46363.3,0.14507766,12
1640996520,46367.9,46371.1,46367.9,46371.0,0.28989034,7
1640996580,46371.1,46371.1,46365.6,46365.6,0.00945303,7
1640996640,46350.2,46365.7,46350.2,46365.6,0.01945409,8
1640996700,46365.7,46365.7,46365.3,46365.3,0.13798621,12
1640996760,46370.4,46370.4,46368.9,46369.3,0.03770261,7
1640996820,46369.3,46369.3,46369.3,46369.3,0.11371868,2
1640996880,46369.3,46369.3,46369.2,46369.3,0.29984349,13
1640996940,46369.3,46369.3,46369.3,46369.3,0.01793034,1
1640997000,46369.3,46369.3,46369.3,46369.3,0.09213387,4
1640997060,46369.3,46369.3,46369.2,46369.3,0.11106946,6
1640997120,46369.3,46369.3,46369.2,46369.3,0.03131829,8
1640997180,46369.3,46369.3,46369.3,46369.3,0.00811994,2
1640997240,46369.3,46400.0,46369.3,46400.0,0.19017383,6
1640997300,46399.9,46474.6,46399.9,46466.8,7.54492948,65
1640997360,46466.7,46483.1,46453.2,46478.8,0.09519189,10
1640997420,46478.8,46478.8,46478.7,46478.8,0.21928792,7
1640997480,46484.8,46493.4,46484.8,46484.8,0.28511507,14
1640997540,46484.7,46548.8,46484.7,46539.2,0.97728151,54
1640997600,46509.0,46535.0,46502.0,46535.0,0.22860367,13
1640997660,46548.6,46645.2,46548.6,46620.9,5.90238837,96
1640997720,46613.7,46673.7,46613.7,46630.6,3.99647756,45
1640997780,46630.7,46633.1,46627.8,46633.1,2.01940504,8
1640997840,46633.9,46633.9,46591.0,46591.0,2.66966191,52
1640997900,46592.8,46594.5,46567.5,46594.5,1.35751147,29
1640997960,46594.5,46627.7,46594.5,46627.7,0.16600122,17
1640998020,46625.5,46637.2,46623.3,46635.4,4.02598643,29
1640998080,46635.4,46707.8,46635.4,46690.2,3.8938605,41
